縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
21,1080531,3,44,40
21,1080430,3,40,40
21,1080331,3,40,43
21,1080228,3,43,40
21,1080131,3,40,40
22,1120531,3,20,20
22,1120430,3,20,20
22,1120331,3,20,20
22,1120228,3,20,20
22,1120131,3,20,20
22,1111231,3,20,20
22,1111130,3,20,20
22,1111031,3,20,20
22,1110930,3,20,20
22,1110831,3,20,20
22,1110731,3,20,20
22,1110630,3,20,20
22,1110531,3,20,20
22,1110430,3,20,20
22,1110331,3,20,20
22,1110228,3,20,20
22,1110131,3,20,20
22,1101231,3,20,20
22,1101130,3,20,20
22,1101031,3,20,20
22,1100930,3,20,20
22,1100831,3,20,20
22,1100731,3,20,20
22,1100630,3,20,20
22,1100531,3,20,20
22,1100430,3,20,20
22,1100331,3,20,21
22,1100228,3,21,21
22,1100131,3,21,21
22,1091231,3,21,18
22,1091130,3,18,18
22,1091031,3,18,18
22,1090930,3,18,18
22,1090831,3,18,17
22,1090731,3,17,17
22,1090630,3,17,17
22,1090531,3,17,17
22,1090430,3,17,17
22,1090331,3,17,17
22,1090229,3,17,17
22,1090131,3,17,17
22,1081231,3,17,17
22,1081130,3,17,14
22,1081031,3,14,14
22,1080930,3,14,14
22,1080831,3,14,14
22,1080731,3,14,14
22,1080630,3,14,14
22,1080531,3,14,14
22,1080430,3,14,14
22,1080331,3,14,14
22,1080228,3,14,14
22,1080131,3,14,13
